formattedTitle, collected, releaseDate, releaseMSRP, dateCollected, collectedPrice,notes
Inspector Gadget: Gadget's Crazy Maze,TRUE,,,7/25/2023,7,
Intelligent Qube,FALSE,,,,,
Intellivision Classic Games,FALSE,,,,,
International Superstar Soccer Pro,FALSE,,,,,
International Superstar Soccer '98,FALSE,,,,,
International Track & Field,FALSE,,,,,
International Track & Field 2000,FALSE,,,,,
Inuyasha: A Feudal Fairy Tale,FALSE,,,,,
Invasion From Beyond,FALSE,,,,,
Iron and Blood,TRUE,,,7/25/2023,10,
Iron Man and X-O Manowar in Heavy Metal,FALSE,,,,,
Iron Soldier 3,FALSE,,,,,
Irritating Stick,FALSE,,,,,
ISS Pro Evolution,FALSE,,,,,
The Italian Job,FALSE,,,,,
Jackie Chan Stuntmaster,FALSE,,,,,
Jade Cocoon : Story of the Tamamayu,TRUE,,,7/25/2023,65,
Jarrett & Labonte Stock Car Racing,FALSE,,,,,
Jeopardy!,TRUE,,,7/25/2023,3.5,
Jeopardy! 2,FALSE,,,,,
Jeremy McGrath Supercross '98,FALSE,,,,,
Jeremy McGrath Supercross 2000,FALSE,,,,,
Jersey Devil,FALSE,,,,,
Jet Moto,FALSE,,,,,
Jet Moto 2,FALSE,,,,,
Jet Moto 3,FALSE,,,,,
Jigsaw Madness,TRUE,,,8/4/2023,4,
Jimmy Johnson VR Football '98,FALSE,,,,,
Jimmy White's 2: Cueball,FALSE,,,,,
Jojo's Bizarre Adventure,FALSE,,,,,
Johnny Bazookatone,FALSE,,,,,
Jonah Lomu Rugby,FALSE,,,,,
Judge Dredd,TRUE,,,7/25/2023,20,
Juggernaut,FALSE,,,,,
Jumping Flash,FALSE,,,,,
Jumping Flash! 2,TRUE,,,7/26/2023,16,
Jumpstart Wildlife Safari Field Trip,FALSE,,,,,
The Jungle Book Groove Party,TRUE,,,8/5/2023,3.4,
Jupiter Strike,FALSE,,,,,
K-1 the Arena Fighters,TRUE,,,4/22/2024,6.39,
K-1 Grand Prix,FALSE,,,,,
K-1 Revenge,TRUE,,,4/22/2024,6.39,
Kagero: Deception 2,TRUE,,,,,Owned since childhood
Kartia: The Word of Fate,FALSE,,,,,
Kazmania: Chaos in Kazmania,FALSE,,,,,
Kazmania: Trail of Gems,FALSE,,,,,
Kensei: Sacred Fist,FALSE,,,,,
Kickboxing,FALSE,,,,,
Kileak: The DNA Imperative,FALSE,,,,,
Killer Loop,FALSE,,,,,
Killing Zone,TRUE,,,4/22/2024,15.99,
King of Fighters '95,FALSE,,,,,
The King of Fighters '96,FALSE,,,,,
The King of Fighters '99,TRUE,,,8/11/2023,8,
Kingsley's Adventure,FALSE,,,,,
King's Field,FALSE,,,,,
King's Field II,FALSE,,,,,
KISS Pinball,TRUE,,,7/25/2023,7,
KKND2: Krossfire,FALSE,,,,,
Klonoa: Door to Phantomile,FALSE,,,,,
Knockout Kings 99,FALSE,,,,,
Knockout Kings 2000,FALSE,,,,,
Knockout Kings 2001,FALSE,,,,,
Konami Arcade Classics,FALSE,,,,,
Koudelka,FALSE,,,,,
Krazy Ivan,FALSE,,,,,
Kula World,FALSE,,,,,
Kurt Warner's Arena Football Unleashed,FALSE,,,,,
The Land Before Time: Big Water Adventure,FALSE,,,,,
The Land Before Time: Great Valley Racing Adventure,TRUE,,,8/15/2023,0.01,
The Land Before Time: Return to the Great Valley,TRUE,,,7/25/2023,7,
Largo Winch.//Commando Sar,TRUE,,,8/11/2023,0.01,
Legacy of Kain: Soul Reaver,FALSE,,,,,
The Legend of Dragoon,FALSE,,,,,
Legend of Legaia,TRUE,,,9/7/2023,61.12,
Legend of Mana,FALSE,,,,,
Lego Island 2: The Brickster's Revenge,FALSE,,,,,
Lego Racers,TRUE,,,8/15/2023,20,
Lego Rock Raiders,FALSE,,,,,
3D Lemmings,FALSE,,,,,
Lemmings & Oh No! More Lemmings,FALSE,,,,,
Lethal Enforcers I & II,FALSE,,,,,
The Lion King: Simba's Mighty Adventure,FALSE,,,,,
Loaded,FALSE,,,,,
Lode Runner,FALSE,,,,,
Lode Runner: The Legend Returns,FALSE,,,,,
Looney Tunes Racing,FALSE,,,,,
Lost Vikings 2,FALSE,,,,,
The Lost World: Jurassic Park,FALSE,,,,,
Lucky Luke,TRUE,,,9/26/2023,9.99,
Lunar: Silver Star Story Complete,FALSE,,,,,
Lunar 2: Eternal Blue Complete,FALSE,,,,,
M&Ms - Shell Shocked,FALSE,,,,,
Machine Head,FALSE,,,,,
Machine Hunter,FALSE,,,,,
Madden NFL 97,FALSE,,,,,
Madden NFL 98,TRUE,,,7/25/2023,3.5,
Madden 99,TRUE,,,8/7/2023,4,
Madden NFL 2000,TRUE,,,8/1/2023,1,
Madden NFL 2001,TRUE,,,8/1/2023,1,
Madden NFL 2002,TRUE,,,8/1/2023,1,
Madden NFL 2003,TRUE,,,8/1/2023,4,
Madden NFL 2004,FALSE,,,,,
Madden NFL 2005,FALSE,,,,,
Magic Carpet,FALSE,,,,,
Magic: The Gathering: Battlemage,FALSE,,,,,
Marble Master,FALSE,,,,,
Mars Moose Cosmic Quest,FALSE,,,,,
Martian Gothic: Unification,FALSE,,,,,
Marvel Super Heroes,FALSE,,,,,
Marvel Super Heroes vs. Street Fighter,FALSE,,,,,
Marvel vs. Capcom: Clash of Super Heroes,FALSE,,,,,
